"ID";"Leeftijd";"Marges";"WijkenEnBuurten";"Perioden";"HoogRisicoOpAngstOfDepressie_25"
"216551";"53115";"MW00000";"BU00590002";"2022JJ00";"10.7"
"216555";"53115";"MW00000";"BU00590003";"2022JJ00";"10.7"
"216559";"53115";"MW00000";"BU00590004";"2022JJ00";"9.4"
"216563";"53115";"MW00000";"BU00590005";"2022JJ00";"7.3"
"216567";"53115";"MW00000";"BU00590006";"2022JJ00";"5.2"
"216571";"53115";"MW00000";"BU00590007";"2022JJ00";"6.1"
"216575";"53115";"MW00000";"BU00590008";"2022JJ00";"6.3"
"216579";"53115";"MW00000";"BU00590009";"2022JJ00";"4.6"
"216583";"53115";"MW00000";"WK005901  ";"2022JJ00";"8.4"
"216587";"53115";"MW00000";"BU00590100";"2022JJ00";"9.6"
"216591";"53115";"MW00000";"BU00590102";"2022JJ00";"8.8"
"216595";"53115";"MW00000";"BU00590103";"2022JJ00";"8.2"
"216599";"53115";"MW00000";"BU00590107";"2022JJ00";"6.6"
"216603";"53115";"MW00000";"BU00590108";"2022JJ00";"7.4"
"216607";"53115";"MW00000";"BU00590109";"2022JJ00";"6.6"
"216611";"53115";"MW00000";"WK005902  ";"2022JJ00";"9.2"
"216615";"53115";"MW00000";"BU00590200";"2022JJ00";"9.7"
"216619";"53115";"MW00000";"BU00590201";"2022JJ00";"9.6"
"216623";"53115";"MW00000";"BU00590202";"2022JJ00";"8.4"
"216627";"53115";"MW00000";"BU00590203";"2022JJ00";"9.7"
"216631";"53115";"MW00000";"BU00590206";"2022JJ00";"8.3"
"216635";"53115";"MW00000";"BU00590207";"2022JJ00";"6.3"
"216639";"53115";"MW00000";"BU00590208";"2022JJ00";"5.5"
"216643";"53115";"MW00000";"BU00590209";"2022JJ00";"6"
"216647";"53115";"MW00000";"GM0482    ";"2022JJ00";"11.3"
"216651";"53115";"MW00000";"WK048201  ";"2022JJ00";"10.2"
"216655";"53115";"MW00000";"BU04820101";"2022JJ00";"8.5"
"216659";"53115";"MW00000";"BU04820102";"2022JJ00";"14.5"
"216663";"53115";"MW00000";"BU04820103";"2022JJ00";"10.6"
"216667";"53115";"MW00000";"BU04820104";"2022JJ00";"8.3"
"216671";"53115";"MW00000";"BU04820105";"2022JJ00";"9.5"
"216675";"53115";"MW00000";"WK048202  ";"2022JJ00";"10.9"
"216679";"53115";"MW00000";"BU04820201";"2022JJ00";"7.1"
"216683";"53115";"MW00000";"BU04820202";"2022JJ00";"12"
"216687";"53115";"MW00000";"BU04820203";"2022JJ00";"9.9"
"216691";"53115";"MW00000";"BU04820204";"2022JJ00";
"216695";"53115";"MW00000";"BU04820205";"2022JJ00";"12.2"
"216699";"53115";"MW00000";"BU04820206";"2022JJ00";"10.9"
"216703";"53115";"MW00000";"WK048203  ";"2022JJ00";"12.3"
"216707";"53115";"MW00000";"BU04820301";"2022JJ00";"9.2"
"216711";"53115";"MW00000";"BU04820302";"2022JJ00";"8"
"216715";"53115";"MW00000";"BU04820303";"2022JJ00";"11"
"216719";"53115";"MW00000";"BU04820304";"2022JJ00";"8.6"
"216723";"53115";"MW00000";"BU04820305";"2022JJ00";"13.4"
"216727";"53115";"MW00000";"BU04820306";"2022JJ00";"13.9"
"216731";"53115";"MW00000";"BU04820307";"2022JJ00";"15.9"
"216735";"53115";"MW00000";"WK048204  ";"2022JJ00";"11.1"
"216739";"53115";"MW00000";"BU04820401";"2022JJ00";"10.1"
